country,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,,,0.133,0.148,,,,,,0.197,,0.146,0.137,,,,0.137,0.147,0.153,0.145,,0.148,0.14,0.131,0.127,0.129,0.125,0.129,0.122,0.126,0.119,0.131,0.153,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,0.0933,0.0878,0.084,0.0813,0.0779,0.0726,0.0663,0.0655,0.0577,0.0539,0.0529,0.052,0.0506,0.0493,0.0496,0.049
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,,,,,0.306,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0102,,,,,0.0191,,,,,0.008,0.007,,0.007,0.007,0.007,0.007,0.008,0.008,0.011,0.013,0.017,,,,,,,,,,0.029,0.022,0.0216,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0754,0.0784,0.126,0.0992,0.0853,0.0811,0.0827,0.081,0.0822,0.0841,0.0864,0.0853,0.0843,0.0833,0.0805,0.0756,0.0721,0.0689
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00708,,,,,,,0.0941
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203,0.151,0.145,0.138,0.142,0.138,0.138,0.121,0.117,0.1,0.0703,0.0605,0.0774,0.175,0.195,0.162,0.15,0.119,0.108,0.0987,0.0964,0.0871
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0785,,,0.0898,,0.0635,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379,,0.273,,,,,,,,,0.355,,,,,0.246,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0227,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015,0.0052,0.0076,0.0136,0.0102,0.009,0.016,0.0134,0.0178,0.0178,0.0127,0.0112,0.0145,0.0211,0.024,0.0266,0.0246,0.0201,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,0.134,0.159,0.168,0.13,0.129,0.107,0.0832,0.0578,0.0425,0.0583,0.138,0.178,0.154,0.134,0.118,0.107,0.0912,0.0786,0.0707
