country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386,,,0.317,,,,0.361,0.341,0.351,0.153,0.103,0.0598,0.0389,0.0358,0.0313,0.046,0.0484
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,0.0263,0.0273,0.0142,0.0177,0.0074,0.0242,0.0153,0.0232,0.0328,0.0311,0.0389
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,0.293,,,,0.509,0.549,0.0547,0.0507,0.525,0.525,0.561,0.557,0.553,0.518,0.486,0.498,0.485,0.495,0.473,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.568,,,,,,,,,,,,0.277,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,,0.363
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,0.315,,,0.181,,,0.0413,0.22,,,0.0585,,,,0.0117,,0.0298,,0.0703,0.0538,0.0726,,0.0505,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,,,,,0.639,,,,,,,,,
Netherlands,,,,,,,,,,,,,,0.0694,,0.0617,,0.0534,0.0486,0.0485,0.0508,0.0383,0.0262,0.0292,0.0252,0.0245,0.021,0.0211,0.018,0.0164,0.0159,0.0136,0.0109,0.0094,0.0086,0.0096,0.0097,0.0092,0.0077,0.0074,0.0107,0.0101,0.0085,0.0079,0.0081,0.0086,0.0071,0.0053
New Zealand,,,,,,,,,,,,,,,,,0.016,0.0104,0.0104,0.011,0.0188,0.0194,0.0185,0.0164,0.0163,0.0156,0.0181,0.0135,0.014,0.0129,0.0126,0.0121,0.0106,0.0094,0.0084,0.0088,0.0128,0.0152,0.0125,0.0137,0.014,0.0143,0.014,0.0147,0.0137,0.011,0.0102,0.0096
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,0.0355,,0.0373,0.0376,0.0396,0.0555,0.049,0.11,,,0.12,0.104,0.117,0.091,,0.0909,,,,0.222,,0.0919,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,,,,,,
